epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.704880952835083,0.6151661276817322,1.1540673971176147,0.9715404510498047,0.5300156474113464,0.9572812914848328,0.9481343030929565,0.22609955072402954,0.9844971895217896,0.9150726795196533
1,0.9837089776992798,0.9788532853126526,0.11131779104471207,0.9932425618171692,0.9653138518333435,0.9917113184928894,0.9903798699378967,0.06524032354354858,0.9956191182136536,0.9853353500366211
2,0.9965568780899048,0.9961275458335876,0.03554944694042206,0.9985265135765076,0.9937832951545715,0.9946442246437073,0.994778573513031,0.03550340607762337,0.9975637793540955,0.9920938611030579
3,0.9990116953849792,0.9990377426147461,0.01576116681098938,0.9997127056121826,0.9983741044998169,0.9974496364593506,0.9974419474601746,0.02159280702471733,0.9984666705131531,0.9964295029640198
4,0.9996811747550964,0.9996783137321472,0.008411956951022148,0.9999362230300903,0.9994261264801025,0.9969395399093628,0.9970946907997131,0.018796144053339958,0.9983382225036621,0.995919406414032
5,0.9998725056648254,0.9998393654823303,0.004736027214676142,1.0,0.9996811747550964,0.9975771307945251,0.9976751208305359,0.013923454098403454,0.9984674453735352,0.9969395399093628
6,0.9999043345451355,0.999904453754425,0.002728990511968732,0.9999043345451355,0.9999043345451355,0.9973220825195312,0.9972928762435913,0.01587737910449505,0.998084306716919,0.9965569972991943
7,0.9997449517250061,0.9997601509094238,0.0030447833705693483,0.9998724460601807,0.9996492862701416,0.9975771307945251,0.997816801071167,0.013099640607833862,0.9983405470848083,0.9973220825195312
8,0.9999681115150452,0.9999838471412659,0.001268655527383089,1.0,0.9999681115150452,0.997832179069519,0.99833744764328,0.010627396404743195,0.9989785552024841,0.9977046847343445
9,1.0,1.0,0.0005393683677539229,1.0,1.0,0.9980872273445129,0.9983375668525696,0.009509257972240448,0.9989785552024841,0.9977046847343445
10,1.0,1.0,0.00035991088952869177,1.0,1.0,0.9982147216796875,0.9984005689620972,0.009319094009697437,0.9991061091423035,0.9977046847343445
11,1.0,1.0,0.0002598113496787846,1.0,1.0,0.9983422756195068,0.9983375668525696,0.008991452865302563,0.9989785552024841,0.9977046847343445
12,1.0,1.0,0.0001943010720424354,1.0,1.0,0.9983422756195068,0.9984673857688904,0.00904764048755169,0.998851478099823,0.9980872273445129
13,1.0,1.0,0.00013026474334765226,1.0,1.0,0.9982147216796875,0.9985935688018799,0.008975327014923096,0.9991064667701721,0.9980872273445129
14,1.0,1.0,9.14829652174376e-05,1.0,1.0,0.9982147216796875,0.9984056949615479,0.008878950029611588,0.9985967874526978,0.9982147216796875
15,1.0,1.0,6.507312355097383e-05,1.0,1.0,0.9983422756195068,0.998404324054718,0.00867061223834753,0.9987239837646484,0.9980872273445129
16,1.0,1.0,4.7771161916898564e-05,1.0,1.0,0.9984697699546814,0.9986592531204224,0.008856884203851223,0.9989792108535767,0.9983422756195068
17,1.0,1.0,3.5106040741084144e-05,1.0,1.0,0.9984697699546814,0.9984687566757202,0.008797597140073776,0.9987241625785828,0.9982147216796875
18,1.0,1.0,2.707340900087729e-05,1.0,1.0,0.9984697699546814,0.9985331296920776,0.009257324039936066,0.9987243413925171,0.9983422756195068
19,1.0,1.0,1.9640276150312275e-05,1.0,1.0,0.9983422756195068,0.9984687566757202,0.00881179515272379,0.9987241625785828,0.9982147216796875
20,1.0,1.0,1.5219454326143023e-05,1.0,1.0,0.9984697699546814,0.99859619140625,0.009135019034147263,0.9988517761230469,0.9983422756195068
21,1.0,1.0,1.1909865861525759e-05,1.0,1.0,0.9983422756195068,0.9985331296920776,0.009099640883505344,0.9987243413925171,0.9983422756195068
22,1.0,1.0,9.665326615504455e-06,1.0,1.0,0.9985973238945007,0.9986605048179626,0.009093061089515686,0.9988518953323364,0.9984697699546814
23,1.0,1.0,7.631452717760112e-06,1.0,1.0,0.9983422756195068,0.9984687566757202,0.009345312602818012,0.9987241625785828,0.9982147216796875
24,1.0,1.0,6.232995474420022e-06,1.0,1.0,0.9985973238945007,0.99859619140625,0.009505251422524452,0.9988517761230469,0.9983422756195068
25,1.0,1.0,5.006662831874564e-06,1.0,1.0,0.9985973238945007,0.9987235069274902,0.009136158041656017,0.9989793300628662,0.9984697699546814
